21-03-05 14:31:07.223 - INFO: training.....................
21-03-05 14:31:12.583 - INFO: [0.134372][epoch: 0/ 2][iter:  33/  41],loss_d:0.648824,loss_g:0.037000, d1:0.577468, d2:0.000000, d3:0.062469 flag:0
21-03-05 14:31:12.721 - INFO: [0.135025][epoch: 0/ 2][iter:  34/  41],loss_d:0.823877,loss_g:0.034519, d1:0.752087, d2:0.000000, d3:0.062902 flag:0
21-03-05 14:31:12.857 - INFO: [0.133682][epoch: 0/ 2][iter:  35/  41],loss_d:0.611496,loss_g:0.033124, d1:0.544938, d2:0.000000, d3:0.057671 flag:0
21-03-05 14:31:12.995 - INFO: [0.133660][epoch: 0/ 2][iter:  36/  41],loss_d:0.627876,loss_g:0.032395, d1:0.561082, d2:0.000000, d3:0.057907 flag:0
21-03-05 14:31:13.132 - INFO: [0.134109][epoch: 0/ 2][iter:  37/  41],loss_d:0.587470,loss_g:0.033818, d1:0.523665, d2:0.000000, d3:0.054917 flag:0
21-03-05 14:31:13.271 - INFO: [0.134931][epoch: 0/ 2][iter:  38/  41],loss_d:0.710888,loss_g:0.032002, d1:0.638344, d2:0.000000, d3:0.063655 flag:0
21-03-05 14:31:13.409 - INFO: [0.134813][epoch: 0/ 2][iter:  39/  41],loss_d:0.558982,loss_g:0.028202, d1:0.488534, d2:0.000000, d3:0.061559 flag:0
21-03-05 14:31:13.556 - INFO: [0.140700][epoch: 0/ 2][iter:  40/  41],loss_d:0.527249,loss_g:0.025973, d1:0.454372, d2:0.000000, d3:0.063988 flag:0
21-03-05 14:31:15.344 - INFO: Test Acc:0.6962025316455697, Test Se:0.6, Test Sp:0.7235772357723578, Test Mcc:0.2820749900076242.
Threshold:0.000000

21-03-05 14:31:15.414 - INFO: model saving..............
21-03-05 14:31:19.021 - INFO: [0.134768][epoch: 1/ 2][iter:   0/  41],loss_d:0.766410,loss_g:0.070555, d1:0.505013, d2:0.252507, d3:0.000000 flag:1
21-03-05 14:31:19.159 - INFO: [0.134812][epoch: 1/ 2][iter:   1/  41],loss_d:1.015898,loss_g:0.099870, d1:0.671338, d2:0.335669, d3:0.000000 flag:1
21-03-05 14:31:19.297 - INFO: [0.134885][epoch: 1/ 2][iter:   2/  41],loss_d:0.814838,loss_g:0.102146, d1:0.537298, d2:0.268649, d3:0.000000 flag:1
21-03-05 14:31:19.442 - INFO: [0.139283][epoch: 1/ 2][iter:   3/  41],loss_d:1.050699,loss_g:0.112765, d1:0.694538, d2:0.347269, d3:0.000000 flag:1
21-03-05 14:31:19.580 - INFO: [0.135094][epoch: 1/ 2][iter:   4/  41],loss_d:0.708576,loss_g:0.053393, d1:0.615677, d2:0.000000, d3:0.084007 flag:0
21-03-05 14:31:19.718 - INFO: [0.135280][epoch: 1/ 2][iter:   5/  41],loss_d:0.828195,loss_g:0.039721, d1:0.743627, d2:0.000000, d3:0.075674 flag:0
21-03-05 14:31:19.857 - INFO: [0.135152][epoch: 1/ 2][iter:   6/  41],loss_d:0.701311,loss_g:0.029966, d1:0.633065, d2:0.000000, d3:0.059351 flag:0
21-03-05 14:31:19.994 - INFO: [0.134935][epoch: 1/ 2][iter:   7/  41],loss_d:0.456753,loss_g:0.018204, d1:0.377748, d2:0.000000, d3:0.070109 flag:0
21-03-05 14:31:20.132 - INFO: [0.134053][epoch: 1/ 2][iter:   8/  41],loss_d:0.525728,loss_g:0.014125, d1:0.444086, d2:0.000000, d3:0.072745 flag:0
21-03-05 14:31:20.270 - INFO: [0.133927][epoch: 1/ 2][iter:   9/  41],loss_d:0.706747,loss_g:0.014840, d1:0.640629, d2:0.000000, d3:0.057221 flag:0
21-03-05 14:31:20.407 - INFO: [0.134536][epoch: 1/ 2][iter:  10/  41],loss_d:0.666154,loss_g:0.014031, d1:0.593483, d2:0.000000, d3:0.063774 flag:0
21-03-05 14:31:20.544 - INFO: [0.133759][epoch: 1/ 2][iter:  11/  41],loss_d:0.730664,loss_g:0.014741, d1:0.661785, d2:0.000000, d3:0.059980 flag:0
21-03-05 14:31:20.685 - INFO: [0.138048][epoch: 1/ 2][iter:  12/  41],loss_d:0.581072,loss_g:0.013190, d1:0.509238, d2:0.000000, d3:0.062935 flag:0
21-03-05 14:31:20.822 - INFO: [0.134033][epoch: 1/ 2][iter:  13/  41],loss_d:0.555100,loss_g:0.017589, d1:0.489564, d2:0.000000, d3:0.056636 flag:0
21-03-05 14:31:20.967 - INFO: [0.140626][epoch: 1/ 2][iter:  14/  41],loss_d:0.561594,loss_g:0.013953, d1:0.490017, d2:0.000000, d3:0.062676 flag:0
21-03-05 14:31:21.110 - INFO: [0.140743][epoch: 1/ 2][iter:  15/  41],loss_d:0.636806,loss_g:0.014997, d1:0.570880, d2:0.000000, d3:0.057024 flag:0
21-03-05 14:31:21.248 - INFO: [0.135422][epoch: 1/ 2][iter:  16/  41],loss_d:0.583820,loss_g:0.016864, d1:0.515682, d2:0.000000, d3:0.059235 flag:0
21-03-05 14:31:21.386 - INFO: [0.134636][epoch: 1/ 2][iter:  17/  41],loss_d:0.529466,loss_g:0.017117, d1:0.461178, d2:0.000000, d3:0.059384 flag:0
21-03-05 14:31:21.524 - INFO: [0.135233][epoch: 1/ 2][iter:  18/  41],loss_d:0.661650,loss_g:0.015466, d1:0.589846, d2:0.000000, d3:0.062900 flag:0
21-03-05 14:31:21.660 - INFO: [0.132877][epoch: 1/ 2][iter:  19/  41],loss_d:0.639298,loss_g:0.023484, d1:0.574680, d2:0.000000, d3:0.055713 flag:0
21-03-05 14:31:21.805 - INFO: [0.138403][epoch: 1/ 2][iter:  20/  41],loss_d:0.556519,loss_g:0.015068, d1:0.484886, d2:0.000000, d3:0.062726 flag:0
21-03-05 14:31:21.942 - INFO: [0.133958][epoch: 1/ 2][iter:  21/  41],loss_d:0.665207,loss_g:0.032135, d1:0.608340, d2:0.000000, d3:0.047959 flag:0
21-03-05 14:31:22.079 - INFO: [0.133175][epoch: 1/ 2][iter:  22/  41],loss_d:0.594309,loss_g:0.016451, d1:0.522292, d2:0.000000, d3:0.063108 flag:0
21-03-05 14:31:22.217 - INFO: [0.133394][epoch: 1/ 2][iter:  23/  41],loss_d:0.634450,loss_g:0.026504, d1:0.574144, d2:0.000000, d3:0.051396 flag:0
21-03-05 14:31:22.355 - INFO: [0.134298][epoch: 1/ 2][iter:  24/  41],loss_d:0.553211,loss_g:0.027155, d1:0.487876, d2:0.000000, d3:0.056424 flag:0
21-03-05 14:31:22.493 - INFO: [0.133962][epoch: 1/ 2][iter:  25/  41],loss_d:0.642514,loss_g:0.020202, d1:0.573117, d2:0.000000, d3:0.060486 flag:0
21-03-05 14:31:22.632 - INFO: [0.135368][epoch: 1/ 2][iter:  26/  41],loss_d:0.559785,loss_g:0.029166, d1:0.495684, d2:0.000000, d3:0.055188 flag:0
21-03-05 14:31:22.771 - INFO: [0.135920][epoch: 1/ 2][iter:  27/  41],loss_d:0.525856,loss_g:0.018443, d1:0.458415, d2:0.000000, d3:0.058527 flag:0
21-03-05 14:31:22.909 - INFO: [0.135001][epoch: 1/ 2][iter:  28/  41],loss_d:0.684078,loss_g:0.021870, d1:0.625739, d2:0.000000, d3:0.049423 flag:0
21-03-05 14:31:23.047 - INFO: [0.133965][epoch: 1/ 2][iter:  29/  41],loss_d:0.589285,loss_g:0.026795, d1:0.529066, d2:0.000000, d3:0.051302 flag:0
21-03-05 14:31:23.183 - INFO: [0.133322][epoch: 1/ 2][iter:  30/  41],loss_d:0.561088,loss_g:0.025873, d1:0.497791, d2:0.000000, d3:0.054379 flag:0
21-03-05 14:31:23.321 - INFO: [0.134392][epoch: 1/ 2][iter:  31/  41],loss_d:0.581718,loss_g:0.028469, d1:0.514824, d2:0.000000, d3:0.057974 flag:0
21-03-05 14:31:23.458 - INFO: [0.133966][epoch: 1/ 2][iter:  32/  41],loss_d:0.605112,loss_g:0.033433, d1:0.544225, d2:0.000000, d3:0.051967 flag:0
